fault,site_name,age_MidPt,scarp_hgt,vert_sep,vert_sep_err,offset,offset_err,dip,dip_err,strike,strike_err,rake,rake_err
Toe Jam - folding,Mossy Lane/Blacktail,15000,0.8,0.6,0.2,,,70,10,95,5,90.0,5.0
Vasa Park,Vasa,12595,2.0,1.0,0.5,,,26,5,90,30,90.0,5.0
Saddle Mountain West,Witter,12050,,,,2.15,0.25,67,10,30,10,67.5,23.5
SWIFZ,Mountain Beaver,7845,1.9,1.9,1.5,,,55,30,128,15,125.0,35.0
Kendall,Hornet,7650,3.4,1.1,0.3,,,45,15,80,10,90.0,15.0
Seattle FZ,RP - 7500 yr BP,7050,,1.5,1.4,,,45,15,80,10,90.0,5.0
Toe Jam,Crane Lake,4250,5.2,1.0,,1.25,0.25,70,10,80,10,90.0,5.0
Bellingham coastal faults,Sandy Spit,4200,,2.0,1.0,,,45,30,307,25,90.0,45.0
Saddle Mountain West,Barnett,3550,,1.7,0.3,,,67,10,30,10,67.5,23.5
Kendall,Hornet,3085,3.4,1.2,0.5,,,45,15,80,10,90.0,15.0
SWIFZ,Whidbey Isl.,3000,,1.5,0.5,,,60,15,315,15,125.0,35.0
Bellingham coastal faults,Sandy Spit,2260,,1.0,0.5,,,45,30,307,25,90.0,45.0
Toe Jam,Crane Lake,2200,5.2,1.0,0.5,,,70,10,80,10,90.0,5.0
Frigid Creek,Hummingbird,2105,2.9,2.1,0.5,,,65,15,55,10,-90.0,45.0
Utsalady Pt.,Duffers,1700,4.3,1.5,0.5,,,60,30,305,15,113.5,23.5
Toe Jam,Crane Lake,1450,5.2,1.2,0.6,,,70,10,80,10,90.0,5.0
Lake Creek - Boundary Creek,Lake Creek Nelson,1300,1.0,0.75,0.25,,,55,5,85,5,67.5,23.5
Darrington-Devils Mtn fault,DDMFZ S Personius ,1200,1.0,1.0,,2.3,1.1,60,20,280,10,166.0,10.0
Birch Bay fault,Birch Bay,1175,,1.25,0.75,,,45,30,307,25,90.0,45.0
Bellingham coastal faults,Sandy Spit,1160,,0.5,0.25,,,45,30,307,25,90.0,45.0
Saddle Mountain West,Wilson 1980,1110,8.0,5.5,2.5,,,67,10,30,10,67.5,23.5
Olympia,at Little Skookum,1065,,2.0,1.0,,,45,15,315,15,125.0,35.0
Seattle FZ,RP - 1100 yr BP,1035,,7.0,1.0,,,45,15,80,10,90.0,5.0
Tacoma,Case Inlet TF,1025,,3.0,1.0,,,55,15,80,10,90.0,5.0
Kendall,Hornet,825,3.4,0.55,0.15,,,45,15,80,10,90.0,15.0
Waterman,Madrone,660,4.3,1.4,1.0,,,35,15,80,10,90.0,5.0
Utsalady Pt.,Duffers,300,4.3,1.0,0.3,,,60,30,305,15,113.5,23.5
